                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.22314,                0.98447,                      1,                 0.3326,             0.00023767,             0.00023767,             0.00023767
                      2,                0.09724,                0.97957,                      1,                 0.3343,             0.00042858,             0.00042858,             0.00042858
                      3,                0.08333,                0.97875,                      1,                0.33594,             0.00057237,             0.00057237,             0.00057237
                      4,                 0.0761,                0.98488,                      1,                0.33235,             0.00050194,             0.00050194,             0.00050194
                      5,                0.06247,                0.98978,                      1,                 0.3244,             0.00050194,             0.00050194,             0.00050194
                      6,                0.05906,                0.98611,                      1,                0.32735,             0.00043126,             0.00043126,             0.00043126
                      7,                0.04906,                0.98978,                      1,                0.32435,             0.00036057,             0.00036057,             0.00036057
                      8,                0.04035,                0.99019,                      1,                0.32565,             0.00028988,             0.00028988,             0.00028988
                      9,                0.03337,                0.98897,                      1,                0.32529,              0.0002192,              0.0002192,              0.0002192
                     10,                0.03322,                0.98937,                      1,                0.32377,             0.00014851,             0.00014851,             0.00014851
